i				f_x				x
1				144.58982682493706				[500, 500, 500, 500, 500, 500, 500, 500]
2				6				[2, 2, 2, 2, 2, 2, 2, 2]
3				360				[120, 120, 120, 120, 120, 120, 120, 120]
4				-3289.1128006884073				[700, 700, 700, 700, 700, 700, 700, 700]
5				1473.1063377175353				[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]
6				395.30782432131093				[400, 400, 400, 400, 400, 400, 400, 400]
7				60				[20, 20, 20, 20, 20, 20, 20, 20]
8				360				[120, 120, 120, 120, 120, 120, 120, 120]
9				750				[250, 250, 250, 250, 250, 250, 250, 250]
10				139.40422287042918				[380, 380, 380, 380, 380, 380, 380, 380]
